"Parámetro","Fecha","Hora","Valor","Unidad"
"NO2","2019-12-09","8:00 - 9:00","0.042","ppm"
"NO2","2019-12-09","9:00 - 10:00","0.050","ppm"
"NO2","2019-12-09","10:00 - 11:00","0.047","ppm"
"NO2","2019-12-09","11:00 - 12:00","0.029","ppm"
"NO2","2019-12-09","12:00 - 13:00","0.016","ppm"
"NO2","2019-12-09","13:00 - 14:00","0.012","ppm"
"NO2","2019-12-09","14:00 - 15:00","0.014","ppm"
"NO2","2019-12-09","15:00 - 16:00","0.013","ppm"
"NO2","2019-12-09","16:00 - 17:00","0.011","ppm"
"NO2","2019-12-09","17:00 - 18:00","0.021","ppm"
"NO2","2019-12-09","18:00 - 19:00","0.040","ppm"
"NO2","2019-12-09","19:00 - 20:00","0.054","ppm"
"NO2","2019-12-09","20:00 - 21:00","0.067","ppm"
"NO2","2019-12-09","21:00 - 22:00","0.060","ppm"
"NO2","2019-12-09","22:00 - 23:00","0.055","ppm"
"NO2","2019-12-10","23:00 - 0:00","0.052","ppm"
"NO2","2019-12-10","0:00 - 1:00","0.042","ppm"
"NO2","2019-12-10","1:00 - 2:00","0.031","ppm"
"NO2","2019-12-10","2:00 - 3:00","0.043","ppm"
"NO2","2019-12-10","3:00 - 4:00","0.034","ppm"
"NO2","2019-12-10","4:00 - 5:00","0.028","ppm"
"NO2","2019-12-10","5:00 - 6:00","0.037","ppm"
"NO2","2019-12-10","6:00 - 7:00","0.038","ppm"
"NO2","2019-12-10","7:00 - 8:00","0.042","ppm"
"NO2","2019-12-10","8:00 - 9:00","0.049","ppm"
"NO2","2019-12-10","9:00 - 10:00","0.057","ppm"
"NO2","2019-12-10","10:00 - 11:00","0.055","ppm"
"NO2","2019-12-10","11:00 - 12:00","0.040","ppm"
"NO2","2019-12-10","12:00 - 13:00","0.016","ppm"
"NO2","2019-12-10","13:00 - 14:00","0.012","ppm"
"NO2","2019-12-10","14:00 - 15:00","0.012","ppm"
"NO2","2019-12-10","15:00 - 16:00","0.011","ppm"
"NO2","2019-12-10","16:00 - 17:00","0.011","ppm"
"NO2","2019-12-10","17:00 - 18:00","0.015","ppm"
"NO2","2019-12-12","17:00 - 18:00","0.023","ppm"
"NO2","2019-12-12","19:00 - 20:00","0.039","ppm"
"NO2","2019-12-13","0:00 - 1:00","0.019","ppm"
"NO2","2019-12-13","1:00 - 2:00","0.016","ppm"
"NO2","2019-12-13","2:00 - 3:00","0.011","ppm"
"NO2","2019-12-13","3:00 - 4:00","0.009","ppm"
"NO2","2019-12-13","4:00 - 5:00","0.009","ppm"
"NO2","2019-12-13","5:00 - 6:00","0.017","ppm"
"NO2","2019-12-13","6:00 - 7:00","0.023","ppm"
"NO2","2019-12-13","7:00 - 8:00","0.029","ppm"
"NO2","2019-12-13","8:00 - 9:00","0.036","ppm"
"NO2","2019-12-13","9:00 - 10:00","0.043","ppm"
"NO2","2019-12-13","11:00 - 12:00","0.028","ppm"
"NO2","2019-12-13","12:00 - 13:00","0.022","ppm"
"NO2","2019-12-13","13:00 - 14:00","0.021","ppm"
"NO2","2019-12-13","14:00 - 15:00","0.019","ppm"
"NO2","2019-12-13","15:00 - 16:00","0.015","ppm"
"NO2","2019-12-13","16:00 - 17:00","0.014","ppm"
"NO2","2019-12-13","17:00 - 18:00","0.022","ppm"
"NO2","2019-12-13","18:00 - 19:00","0.038","ppm"
"NO2","2019-12-13","19:00 - 20:00","0.045","ppm"
"NO2","2019-12-13","20:00 - 21:00","0.044","ppm"
"NO2","2019-12-13","21:00 - 22:00","0.043","ppm"
"NO2","2019-12-13","22:00 - 23:00","0.035","ppm"
"NO2","2019-12-14","23:00 - 0:00","0.023","ppm"
"NO2","2019-12-14","0:00 - 1:00","0.021","ppm"
"NO2","2019-12-14","1:00 - 2:00","0.016","ppm"
"NO2","2019-12-14","2:00 - 3:00","0.012","ppm"
"NO2","2019-12-14","3:00 - 4:00","0.011","ppm"
"NO2","2019-12-14","4:00 - 5:00","0.009","ppm"
"NO2","2019-12-14","5:00 - 6:00","0.015","ppm"
"NO2","2019-12-14","6:00 - 7:00","0.014","ppm"
"NO2","2019-12-14","7:00 - 8:00","0.032","ppm"
"NO2","2019-12-14","8:00 - 9:00","0.035","ppm"
"NO2","2019-12-14","9:00 - 10:00","0.051","ppm"
"NO2","2019-12-14","10:00 - 11:00","0.045","ppm"
"NO2","2019-12-14","11:00 - 12:00","0.031","ppm"
"NO2","2019-12-14","12:00 - 13:00","0.028","ppm"
"NO2","2019-12-14","13:00 - 14:00","0.026","ppm"
"NO2","2019-12-14","14:00 - 15:00","0.022","ppm"
"NO2","2019-12-14","15:00 - 16:00","0.017","ppm"
"NO2","2019-12-14","16:00 - 17:00","0.020","ppm"
"NO2","2019-12-14","17:00 - 18:00","0.022","ppm"
"NO2","2019-12-14","18:00 - 19:00","0.039","ppm"
"NO2","2019-12-14","19:00 - 20:00","0.038","ppm"
"NO2","2019-12-14","20:00 - 21:00","0.043","ppm"
"NO2","2019-12-14","21:00 - 22:00","0.038","ppm"
"NO2","2019-12-14","22:00 - 23:00","0.035","ppm"
"NO2","2019-12-15","3:00 - 4:00","0.017","ppm"
"NO2","2019-12-15","4:00 - 5:00","0.015","ppm"
"NO2","2019-12-15","5:00 - 6:00","0.022","ppm"
"NO2","2019-12-15","6:00 - 7:00","0.040","ppm"
"NO2","2019-12-15","7:00 - 8:00","0.041","ppm"
"NO2","2019-12-15","8:00 - 9:00","0.044","ppm"
"NO2","2019-12-15","9:00 - 10:00","0.037","ppm"
"NO2","2019-12-15","10:00 - 11:00","0.030","ppm"
"NO2","2019-12-15","11:00 - 12:00","0.023","ppm"
"NO2","2019-12-15","12:00 - 13:00","0.017","ppm"
"NO2","2019-12-15","13:00 - 14:00","0.015","ppm"
"NO2","2019-12-15","14:00 - 15:00","0.015","ppm"
"NO2","2019-12-15","15:00 - 16:00","0.014","ppm"
"NO2","2019-12-15","16:00 - 17:00","0.012","ppm"
"NO2","2019-12-15","17:00 - 18:00","0.010","ppm"
"NO2","2019-12-15","18:00 - 19:00","0.019","ppm"
"NO2","2019-12-15","19:00 - 20:00","0.024","ppm"
"NO2","2019-12-15","20:00 - 21:00","0.028","ppm"
"NO2","2019-12-15","21:00 - 22:00","0.032","ppm"
"NO2","2019-12-15","22:00 - 23:00","0.056","ppm"
"NO2","2019-12-16","23:00 - 0:00","0.033","ppm"
"NO2","2019-12-16","0:00 - 1:00","0.017","ppm"
"NO2","2019-12-16","1:00 - 2:00","0.017","ppm"
"NO2","2019-12-16","2:00 - 3:00","0.027","ppm"
"NO2","2019-12-16","3:00 - 4:00","0.017","ppm"
"NO2","2019-12-16","4:00 - 5:00","0.027","ppm"
"NO2","2019-12-16","5:00 - 6:00","0.033","ppm"
"NO2","2019-12-16","6:00 - 7:00","0.033","ppm"
