date, pm25, pm10, o3, no2, so2, co
2019/9/25, 79, 27, 70, 20, 3, 5
2019/9/26, 68, 22, 70, 17, 3, 4
2019/9/27, 52, 21, 55, 15, 6, 4
2019/9/28, 53, 7, 15, 8, 2, 2
2019/9/29, 19, 11, 28, 15, 2, 4
2019/9/30, 27, 16, 46, 18, 2, 5
2019/4/1, 82, 37, 71, 17, 4, 3
2019/4/2, 74, 38, 60, 18, 2, 4
2019/4/3, 75, 36, 86, 14, 1, 2
2019/4/4, 79, 42, 60, 16, 2, 3
2019/4/5, 84, 40, 57, 16, 2, 3
2019/4/6, 82, 34, 65, 8, 1, 2
2019/4/7, 73, 35, 71, 18, 4, 3
2019/4/8, 81, 26, 56, 14, 3, 3
2019/4/9, 62, 36, 108, 16, 1, 4
2019/4/10, 69, 40, 83, 17, 1, 4
2019/4/11, 68, 41, 67, 18, 1, 5
2019/4/12, 67, 35, 71, 17, 1, 4
2019/4/13, 57, 54, 117, 15, 7, 8
2019/4/14, 116, 55, 106, 17, 6, 6
2019/4/15, 110, 49, 109, 19, 2, 6
2019/4/16, 99, 47, 93, 16, 2, 5
2019/4/17, 91, 37, 48, 12, 1, 3
2019/4/18, 72, 39, 87, 8, 2, 3
2019/4/19, 66, 34, 90, 12, 3, 3
2019/4/20, 60, 34, 100, 11, 1, 4
2019/4/21, 66, 44, 96, 17, 3, 5
2019/4/22, 82, 45, 79, 21, 2, 5
2019/4/23, 87, 48, 75, 20, 2, 6
2019/4/24, 95, 45, 87, 16, 2, 5
2019/4/25, 92, 48, 110, 17, 11, 4
2019/4/26, 96, 47, 85, 17, 2, 5
2019/4/27, 101, 47, 97, 14, 1, 5
2019/4/28, 102, 48, 90, 24, 2, 7
2019/4/29, 107, 37, 88, 17, 1, 5
2019/4/30, 80, 21, 7, 28, 1, 6
2019/5/1, 52, 33, 59, 14, 1, 3
2019/5/2, 48, 39, 59, 23, 2, 7
2019/5/3, 79, 44, 68, 19, 1, 5
2019/5/4, 95, 45, 69, 14, 1, 5
2019/5/5, 102, 46, 58, 12, 1, 4
2019/5/6, 95, 35, 55, 16, 1, 5
2019/5/7, 73, 39, 53, 13, 2, 5
2019/5/8, 69, 41, 50, 13, 1, 5
2019/5/9, 74, , 80, 14, 1, 5
2019/5/13, 154, 57, 90, 23, 2, 8
2019/5/14, 135, 71, 103, 16, 12, 7
2019/5/15, 154, 68, 86, 23, 2, 8
2019/5/16, 155, 43, 70, 18, 1, 5
2019/5/17, 105, 31, 77, 14, 1, 4
2019/5/18, 72, 36, 88, 12, 2, 4
2019/5/19, 79, 43, 105, 18, 1, 5
2019/5/20, 91, 48, 119, 18, 2, 5
2019/5/21, 101, 31, 102, 19, 2, 
2019/5/22, 68, 46, 79, 20, 1, 
2019/5/23, 90, 43, 90, 16, 2, 
2019/5/24, 97, 39, 91, 12, 6, 3
2019/5/25, 84, 28, 81, 9, 2, 2
2019/5/26, 60, 35, 38, 22, 3, 5
2019/5/27, 74, , , , , 
2019/6/5, 40, 16, 71, 21, 1, 6
2019/6/6, 45, 17, 71, 21, 1, 6
2019/6/7, 46, 19, 71, 17, 2, 6
2019/6/8, 48, 16, 77, 8, 1, 3
2019/6/9, 42, 21, 50, 12, 1, 3
2019/6/10, 42, 16, 49, 10, 1, 3
2019/6/11, 38, 25, 62, 16, 9, 4
2019/6/12, 52, 17, 47, 14, 5, 4
2019/6/13, 40, 19, 61, 16, 1, 4
2019/6/14, 44, 23, 84, 13, 7, 4
2019/6/15, 57, 25, 91, 14, 1, 4
2019/6/16, 63, 27, 83, 13, 7, 4
2019/6/17, 61, 23, 75, 14, 1, 4
2019/6/18, 55, 26, 55, 19, 6, 6
2019/6/19, 67, 33, 107, 22, 6, 6
2019/6/20, 81, , 62, 16, 2, 5
2019/6/25, 39, 24, 64, 20, 1, 5
2019/6/26, 58, 18, 46, 16, 4, 4
2019/6/27, 42, 16, 48, 13, 7, 3
2019/6/28, 39, , 22, 9, 1, 2
2019/1/1, 119, , 53, 25, 6, 6
2019/1/2, 83, , 61, 31, 6, 8
2019/1/3, 67, , 79, 37, 4, 8
2019/1/8, 60, , 53, 25, 18, 6
2019/1/9, 70, , 64, 21, 7, 5
2019/1/10, 68, , 66, 19, 4, 5
2019/1/11, 64, , 48, 26, 10, 6
2019/1/12, 86, , 46, 15, 1, 4
2019/1/13, 67, , 40, 16, 12, 3
2019/1/14, 68, , 62, 31, 19, 7
2019/1/15, 81, , 70, 24, 8, 6
2019/1/16, 86, , 52, 28, 17, 7
2019/1/17, 85, , 58, 23, 6, 6
2019/1/18, 67, , 60, 24, 4, 5
2019/1/19, 65, , 49, 19, 15, 5
2019/1/20, 53, , 61, 30, 21, 8
2019/1/22, 50, 27, 45, 23, 3, 5
2019/1/23, 47, 32, 35, 19, 3, 5
2019/1/24, 55, 23, 42, 16, 4, 5
2019/1/25, 44, 22, 38, 16, 2, 4
2019/1/26, 42, 17, 47, 13, 4, 3
2019/1/27, 42, 30, 42, 21, 4, 5
2019/1/28, 57, 35, 81, 21, 3, 5
2019/1/29, 68, 26, 44, 23, 3, 5
2019/1/30, 49, 22, 40, 19, 2, 5
2019/1/31, 41, 25, 56, 21, 2, 6
2019/2/1, 48, 37, 100, 24, 8, 6
2019/2/2, 78, 40, 98, 20, 7, 5
2019/2/3, 83, 35, 84, 21, 7, 6
2019/2/4, 71, 42, 72, 29, 6, 8
2019/2/5, 80, 43, 98, 29, 5, 8
2019/2/6, 80, 47, 68, 29, 5, 7
2019/2/7, 84, 36, 38, 16, 6, 3
2019/2/8, 64, 35, 55, 20, 12, 4
2019/2/9, 78, 26, 78, 15, 4, 4
2019/2/10, 61, 35, 80, 18, 4, 5
2019/2/11, 70, 45, 56, 21, 7, 5
2019/2/12, 78, 39, 56, 27, 12, 6
2019/2/13, 93, 27, 50, 15, 2, 5
2019/2/14, 66, 29, 85, 19, 2, 5
2019/2/15, 61, 29, 75, 17, 3, 4
2019/2/16, 60, 29, 69, 15, 2, 4
2019/2/17, 62, 29, 29, 21, 2, 6
2019/2/18, 58, 20, 30, 17, 2, 4
2019/2/19, 36, 11, 23, 9, 2, 3
2019/2/20, 18, 11, 23, 6, 1, 2
2019/2/21, 15, 15, 29, 13, 2, 4
2019/2/22, 27, 22, 56, 13, 12, 3
2019/2/23, 44, 22, 48, 12, 4, 3
2019/2/24, 54, 35, 60, 26, 2, 6
2019/2/25, 80, 22, 50, 21, 2, 5
2019/2/26, 52, 20, 46, 21, 2, 5
2019/2/27, 40, 26, 67, 23, 2, 5
2019/2/28, 50, 28, 20, , 3, 6
2019/3/1, 59, , , , , 
2019/3/3, 68, 32, 30, , 2, 6
2019/3/4, 65, , , , , 
2019/3/8, 52, 33, 87, 14, 3, 4
2019/3/9, 71, 38, 82, 12, 7, 4
2019/3/10, 79, 39, 77, 14, 5, 4
2019/3/11, 74, 30, 52, 21, 6, 5
2019/3/12, 57, 31, 71, 18, 2, 5
2019/3/13, 56, 40, 85, 20, 3, 6
2019/3/14, 75, 44, 60, 14, 10, 4
2019/3/15, 84, 37, 51, 17, 11, 3
2019/3/16, 69, 40, 80, 19, 14, 3
2019/3/17, 88, 32, 48, 12, 11, 2
2019/3/18, 63, 31, 43, 18, 9, 3
2019/3/19, 58, 32, 65, 19, 11, 3
2019/3/20, 57, 35, 55, 19, 17, 3
2019/3/21, 72, 27, 47, 15, 3, 2
2019/3/22, 56, 22, 56, 13, 2, 2
2019/3/23, 45, 25, 97, 13, 3, 2
2019/3/24, 60, 30, 57, 15, 2, 2
2019/3/25, 48, 21, 52, 14, 4, 2
2019/3/26, 28, 28, 50, 15, 9, 2
2019/3/27, 53, 30, 65, 22, 7, 3
2019/3/28, 46, 50, 88, 22, 2, 4
2019/3/29, 90, 53, 110, 21, 3, 5
2019/3/30, 96, 45, 102, 12, 14, 2
2019/3/31, 94, 44, 67, 21, 9, 4
2018/10/1, 44, , , , , 
2018/10/2, 40, , , , , 
2018/10/3, 36, , , , , 
2018/10/10, 77, , 62, , , 
2018/10/11, 84, , 51, 22, 5, 6
2018/10/12, 63, , 36, 14, 4, 5
2018/10/13, 49, , 30, 9, 4, 4
2018/10/14, 28, , 31, 18, 5, 7
2018/10/15, 41, , 55, 19, 4, 6
2018/10/16, 44, , 13, 18, 7, 5
2018/10/17, 37, , 16, 17, 4, 5
2018/10/18, 33, , 19, 15, 4, 4
2018/11/15, 51, , 60, 26, 2, 5
2018/11/16, 50, , 76, 24, 2, 4
2018/11/17, 56, , 82, 25, 4, 5
2018/11/18, 71, , 72, 24, 2, 4
2018/11/19, 64, , 73, 31, 3, 7
2018/11/20, 71, , 61, 32, 4, 6
2018/11/21, 82, , 83, 31, 4, 6
2018/12/4, 98, , 26, 23, 4, 6
2018/12/5, 61, , 55, 24, 2, 7
2018/12/13, 33, , 26, 27, 4, 7
2018/12/14, 56, , 50, 40, 20, 10
2018/12/15, 153, , 68, 31, 14, 9
2018/12/16, 116, , 68, 38, 15, 10
