date,pm25,pm10,o3,no2,so2,co
2019/1/30,67,60,34,33,6,12
2019/1/31,85,74,43,37,7,14
2019/2/1,101,81,54,40,7,15
2019/2/2,118,68,59,30,5,12
2019/2/3,95,65,55,33,6,12
2019/2/4,97,76,45,41,14,15
2019/2/5,109,87,63,39,9,17
2019/2/6,120,87,41,42,11,15
2019/2/7,121,48,29,12,3,5
2019/2/8,69,53,39,21,6,8
2019/2/9,77,53,48,21,11,8
2019/2/10,73,69,42,33,7,12
2019/2/11,94,81,30,29,10,12
2019/2/12,102,61,35,29,21,10
2019/2/13,107,61,54,34,6,15
2019/2/14,107,68,72,37,6,15
2019/2/15,101,75,62,36,7,13
2019/2/16,109,52,45,23,4,10
2019/2/17,66,68,33,29,7,13
2019/2/18,81,54,31,26,6,12
2019/2/19,64,61,27,23,8,14
2019/2/20,81,47,25,17,7,10
2019/2/21,58,59,26,24,8,12
2019/2/22,76,53,40,23,10,10
2019/2/23,75,36,30,15,4,7
2019/2/24,63,55,33,24,6,11
2019/2/25,78,58,33,27,6,13
2019/2/26,83,60,35,28,7,13
2019/2/27,83,71,43,37,10,15
2019/2/28,95,91,8,44,10,18
2019/3/1,134,,,,,
2019/3/3,69,54,40,29,6,11
2019/3/4,68,61,40,30,8,15
2019/3/5,89,58,42,27,18,12
2019/3/6,87,62,49,31,7,12
2019/3/7,92,74,50,36,8,18
2019/3/8,106,78,67,36,8,15
2019/3/9,110,70,53,27,8,11
2019/3/10,99,79,41,35,9,13
2019/3/11,98,70,37,33,13,12
2019/3/12,100,74,42,32,7,13
2019/3/13,90,74,47,29,7,11
2019/3/14,96,69,42,26,7,7
2019/3/15,94,60,35,23,11,8
2019/3/16,76,57,43,27,23,9
2019/3/17,97,49,32,19,19,6
2019/3/18,74,56,33,24,12,8
2019/3/19,77,66,46,24,23,9
2019/3/20,91,52,37,26,18,7
2019/3/21,80,56,35,28,7,9
2019/3/22,85,56,42,28,6,9
2019/3/23,77,47,46,21,5,7
2019/3/24,67,58,35,28,5,8
2019/3/25,58,52,36,25,8,8
2019/3/26,58,52,32,21,6,7
2019/3/27,65,55,39,29,22,8
2019/3/28,74,67,37,34,9,11
2019/3/29,93,76,53,37,7,12
2019/3/30,118,64,45,29,16,9
2019/3/31,101,59,41,23,5,8
2018/10/1,38,28,29,13,2,7
2018/10/2,31,27,30,12,1,6
2018/10/3,31,27,30,14,2,7
2018/10/4,36,37,45,20,2,9
2018/10/5,45,52,44,30,4,12
2018/10/6,90,51,71,26,3,12
2018/10/7,108,56,41,34,4,14
2018/10/8,98,60,27,32,4,15
2018/10/9,100,47,45,30,3,11
2018/10/10,82,48,41,28,3,10
2018/10/11,95,43,39,20,2,7
2018/10/12,64,46,37,24,2,9
2018/10/13,76,25,32,11,1,5
2018/10/14,36,41,31,23,3,9
2018/10/15,48,46,39,25,3,9
2018/10/16,66,29,20,14,3,7
2018/10/17,34,24,20,11,1,6
2018/10/18,23,22,20,12,2,6
2018/10/19,28,,,,,
2018/11/7,62,71,40,30,10,14
2018/11/8,83,74,44,27,6,15
2018/11/9,93,43,61,19,4,8
2018/11/10,65,51,55,24,19,11
2018/11/11,90,58,42,28,5,13
2018/11/12,88,64,25,30,7,13
2018/11/13,110,45,5,25,12,19
2018/11/14,102,52,33,31,5,14
2018/11/15,89,77,41,32,8,18
2018/11/16,103,67,55,32,5,16
2018/11/17,96,61,61,30,5,16
2018/11/18,87,72,66,36,5,19
2018/11/19,105,90,55,41,7,20
2018/11/20,108,81,44,33,8,14
2018/11/21,116,85,61,40,8,18
2018/11/22,116,92,75,46,9,20
2018/11/23,123,91,79,42,8,20
2018/11/24,135,48,42,24,3,10
2018/11/25,72,75,26,42,16,15
2018/11/26,121,70,36,32,16,11
2018/11/27,106,46,21,24,3,7
2018/11/28,59,28,21,19,3,7
2018/11/29,44,32,17,17,3,8
2018/11/30,38,33,37,19,5,10
2018/12/1,48,26,5,22,4,10
2018/12/2,47,,,,,
2018/12/5,57,66,44,32,6,11
2018/12/6,94,58,35,26,5,12
2018/12/7,80,69,38,25,7,13
2018/12/8,85,54,47,24,4,11
2018/12/9,75,58,31,30,36,10
2018/12/10,101,82,34,33,32,12
2018/12/11,146,80,51,36,10,15
2018/12/12,126,57,27,32,6,14
2018/12/13,81,69,40,33,11,13
2018/12/14,92,75,43,37,28,12
2018/12/15,124,72,58,40,23,15
2018/12/16,115,82,57,50,27,17
2018/12/17,120,98,69,52,12,21
2018/12/18,144,49,29,28,5,9
2018/12/19,68,66,38,30,21,13
2018/12/20,85,83,40,46,14,16
2018/12/21,116,102,53,60,12,22
2018/12/22,142,90,72,47,9,20
2018/12/23,131,71,60,42,29,14
2018/12/24,119,110,83,38,14,20
2018/12/25,177,71,36,38,7,15
2018/12/26,102,58,33,26,5,12
2018/12/27,72,52,31,32,6,14
2018/12/28,81,67,41,37,8,17
2018/12/29,104,62,32,26,12,12
2018/12/30,99,,,,,
2018/7/2,85,53,41,24,11,8
2018/7/3,79,60,48,29,15,9
2018/7/4,100,46,30,17,3,6
2018/7/5,58,31,25,13,4,5
2018/7/6,39,23,37,17,3,5
2018/7/7,35,33,34,21,8,7
2018/7/8,66,55,39,25,5,11
2018/7/9,82,35,31,19,4,7
2018/7/10,53,45,45,32,5,10
2018/7/11,81,45,35,25,4,11
2018/7/12,81,51,40,22,14,8
2018/7/13,72,39,35,31,4,11
2018/7/14,76,58,63,20,3,8
2018/7/15,91,72,52,23,11,9
2018/7/16,95,48,46,21,5,8
2018/7/17,74,54,53,22,4,8
2018/7/18,79,58,50,23,12,9
2018/7/19,79,50,46,24,7,8
2018/7/20,69,48,39,22,4,10
2018/7/21,70,44,61,17,5,7
2018/7/22,66,60,48,24,9,10
2018/7/23,76,58,51,23,4,8
2018/7/24,69,59,45,26,5,9
2018/7/25,68,58,60,35,6,13
2018/7/26,92,62,57,32,6,13
2018/7/27,100,35,51,25,8,9
2018/7/28,58,,,,,
2018/7/30,69,52,55,27,5,11
2018/7/31,80,,,,,
2018/8/14,96,51,37,28,2,9
2018/8/15,79,54,46,29,2,11
2018/8/16,92,56,4,34,3,15
2018/8/17,84,,39,24,2,8
2018/8/23,65,47,44,28,4,11
2018/8/24,67,46,43,21,21,7
2018/8/25,77,27,43,17,1,7
2018/8/26,52,37,35,25,3,9
2018/8/27,69,36,34,30,4,10
2018/8/28,69,44,37,28,2,10
2018/8/29,82,35,43,18,2,7
2018/8/30,54,40,41,24,3,10
2018/8/31,80,42,12,29,5,12
