Hora,CO_M,NO2_M,NOx_M,SO2_M,O3_M,TMP_M,DV_M,VV_M,HR_M,CO_P,NO2_P,NOx_P,SO2_P,O3_P,TMP_P,DV_P,VV_P,HR_P,CO_T,NO2_T,NOx_T,SO2_T,O3_T,TMP_T,DV_T,VV_T,HR_T,CO_X,NO2_X,NOx_X,SO2_X,O3_X,TMP_X,DV_X,VV_X,HR_X
4:00 - 5:00,"(0.644, 0.817]","(0.0428, 0.0477]","(0.0567, 0.0729]","(0.000902, 0.00644]","(0.000889, 0.00717]","(9.167, 10.189]","(20.0, 40.0]","(5.389, 6.461]","(55.444, 60.389]","(0.0981, 0.206]","(0.00783, 0.0117]","(0.00584, 0.0149]","(0.000936, 0.00456]","(0.0373, 0.0443]","(8.533, 9.5]","(199.444, 219.389]","(7.022, 8.067]","(38.556, 42.778]","(0.196, 0.422]","(0.0168, 0.0217]","(0.00869, 0.0262]","(0.000884, 0.00744]","(0.0214, 0.0266]","(7.489, 8.578]","(240.333, 260.278]","(4.017, 5.156]","(48.667, 52.833]","(0.589, 0.878]","(0.039, 0.0445]","(0.0556, 0.0788]","(0.00193, 0.00578]","(0.00492, 0.00956]","(7.478, 8.456]","(60.833, 80.778]","(3.144, 4.617]","(45.5, 49.889]"
5:00 - 6:00,"(1.161, 1.333]","(0.0428, 0.0477]","(0.0891, 0.105]","(0.000902, 0.00644]","(0.000889, 0.00717]","(8.144, 9.167]","(60.0, 80.0]","(3.244, 4.317]","(55.444, 60.389]","(0.0981, 0.206]","(0.00783, 0.0117]","(0.00584, 0.0149]","(0.000936, 0.00456]","(0.0302, 0.0373]","(7.567, 8.533]","(199.444, 219.389]","(5.978, 7.022]","(42.778, 47.0]","(0.196, 0.422]","(0.0314, 0.0363]","(0.0434, 0.0607]","(0.000884, 0.00744]","(0.00611, 0.0112]","(6.38, 7.489]","(240.333, 260.278]","(4.017, 5.156]","(48.667, 52.833]","(1.456, 1.744]","(0.0445, 0.05]","(0.149, 0.172]","(0.00578, 0.00956]","(0.00492, 0.00956]","(7.478, 8.456]","(200.444, 220.389]","(3.144, 4.617]","(45.5, 49.889]"
6:00 - 7:00,"(1.678, 1.85]","(0.0477, 0.0525]","(0.17, 0.186]","(0.000902, 0.00644]","(0.000889, 0.00717]","(7.122, 8.144]","(120.0, 140.0]","(3.244, 4.317]","(55.444, 60.389]","(0.311, 0.417]","(0.0232, 0.027]","(0.0239, 0.0328]","(0.000936, 0.00456]","(0.0161, 0.0232]","(7.567, 8.533]","(219.389, 239.333]","(5.978, 7.022]","(42.778, 47.0]","(0.867, 1.089]","(0.0412, 0.0461]","(0.0951, 0.112]","(0.000884, 0.00744]","(0.000908, 0.00611]","(6.38, 7.489]","(260.278, 280.222]","(4.017, 5.156]","(52.833, 57.0]","(1.744, 2.033]","(0.039, 0.0445]","(0.149, 0.172]","(0.00578, 0.00956]","(0.00492, 0.00956]","(7.478, 8.456]","(100.722, 120.667]","(3.144, 4.617]","(49.889, 54.278]"
7:00 - 8:00,"(2.367, 2.539]","(0.067, 0.0718]","(0.284, 0.3]","(0.00644, 0.0119]","(0.000889, 0.00717]","(7.122, 8.144]","(80.0, 100.0]","(3.244, 4.317]","(50.5, 55.444]","(0.733, 0.839]","(0.0347, 0.0385]","(0.0507, 0.0597]","(0.000936, 0.00456]","(0.00187, 0.00906]","(7.567, 8.533]","(219.389, 239.333]","(3.889, 4.933]","(42.778, 47.0]","(1.978, 2.2]","(0.0461, 0.051]","(0.198, 0.216]","(0.000884, 0.00744]","(0.000908, 0.00611]","(6.38, 7.489]","(260.278, 280.222]","(4.017, 5.156]","(52.833, 57.0]","(2.611, 2.9]","(0.0445, 0.05]","(0.218, 0.242]","(0.00956, 0.0133]","(0.00492, 0.00956]","(6.482, 7.478]","(60.833, 80.778]","(4.617, 6.089]","(54.278, 58.667]"
8:00 - 9:00,"(1.85, 2.022]","(0.0622, 0.067]","(0.219, 0.235]","(0.00644, 0.0119]","(0.000889, 0.00717]","(7.122, 8.144]","(100.0, 120.0]","(6.461, 7.533]","(45.556, 50.5]","(1.261, 1.367]","(0.0385, 0.0423]","(0.104, 0.113]","(0.000936, 0.00456]","(0.00187, 0.00906]","(8.533, 9.5]","(99.722, 119.667]","(3.889, 4.933]","(42.778, 47.0]","(2.2, 2.422]","(0.0559, 0.0608]","(0.233, 0.25]","(0.00744, 0.0139]","(0.000908, 0.00611]","(8.578, 9.667]","(260.278, 280.222]","(2.878, 4.017]","(44.5, 48.667]","(2.611, 2.9]","(0.05, 0.0555]","(0.242, 0.265]","(0.00956, 0.0133]","(0.00492, 0.00956]","(7.478, 8.456]","(80.778, 100.722]","(4.617, 6.089]","(49.889, 54.278]"
9:00 - 10:00,"(1.506, 1.678]","(0.0573, 0.0622]","(0.138, 0.154]","(0.00644, 0.0119]","(0.00717, 0.0133]","(9.167, 10.189]","(60.0, 80.0]","(4.317, 5.389]","(45.556, 50.5]","(1.261, 1.367]","(0.0462, 0.05]","(0.104, 0.113]","(0.000936, 0.00456]","(0.00906, 0.0161]","(10.467, 11.433]","(59.833, 79.778]","(3.889, 4.933]","(42.778, 47.0]","(1.311, 1.533]","(0.0608, 0.0657]","(0.164, 0.181]","(0.00744, 0.0139]","(0.00611, 0.0112]","(11.844, 12.933]","(220.389, 240.333]","(0.58, 1.739]","(36.167, 40.333]","(2.322, 2.611]","(0.061, 0.0665]","(0.149, 0.172]","(0.00956, 0.0133]","(0.00956, 0.0141]","(10.411, 11.389]","(100.722, 120.667]","(4.617, 6.089]","(41.111, 45.5]"
11:00 - 12:00,"(1.161, 1.333]","(0.0573, 0.0622]","(0.0891, 0.105]","(0.000902, 0.00644]","(0.038, 0.0442]","(14.278, 15.3]","(340.0, 360.0]","(4.317, 5.389]","(35.667, 40.611]","(0.944, 1.05]","(0.05, 0.0538]","(0.0686, 0.0776]","(0.000936, 0.00456]","(0.0443, 0.0514]","(14.333, 15.3]","(19.944, 39.889]","(4.933, 5.978]","(30.111, 34.333]","(1.089, 1.311]","(0.0706, 0.0754]","(0.112, 0.13]","(0.00744, 0.0139]","(0.0266, 0.0317]","(16.2, 17.289]","(20.944, 40.889]","(0.58, 1.739]","(23.667, 27.833]","(1.167, 1.456]","(0.05, 0.0555]","(0.0556, 0.0788]","(0.00578, 0.00956]","(0.046, 0.0506]","(15.3, 16.278]","(80.778, 100.722]","(1.672, 3.144]","(27.944, 32.333]"
12:00 - 13:00,"(1.161, 1.333]","(0.0573, 0.0622]","(0.0729, 0.0891]","(0.000902, 0.00644]","(0.0565, 0.0627]","(16.322, 17.344]","(-0.36, 20.0]","(5.389, 6.461]","(25.778, 30.722]","(1.05, 1.156]","(0.0615, 0.0653]","(0.0776, 0.0865]","(0.000936, 0.00456]","(0.0584, 0.0655]","(17.233, 18.2]","(119.667, 139.611]","(5.978, 7.022]","(25.889, 30.111]","(0.644, 0.867]","(0.0314, 0.0363]","(0.0434, 0.0607]","(0.000884, 0.00744]","(0.0368, 0.0419]","(18.378, 19.467]","(340.056, 360.0]","(6.294, 7.433]","(11.167, 15.333]","(1.167, 1.456]","(0.0555, 0.061]","(0.0788, 0.102]","(0.00193, 0.00578]","(0.0506, 0.0551]","(17.256, 18.233]","(20.944, 40.889]","(4.617, 6.089]","(19.167, 23.556]"
13:00 - 14:00,"(0.989, 1.161]","(0.0525, 0.0573]","(0.0567, 0.0729]","(0.000902, 0.00644]","(0.075, 0.0812]","(18.367, 19.389]","(-0.36, 20.0]","(6.461, 7.533]","(15.889, 20.833]","(0.733, 0.839]","(0.0462, 0.05]","(0.0597, 0.0686]","(0.000936, 0.00456]","(0.0655, 0.0726]","(19.167, 20.133]","(-0.359, 19.944]","(7.022, 8.067]","(13.222, 17.444]","(0.422, 0.644]","(0.0266, 0.0314]","(0.0434, 0.0607]","(0.000884, 0.00744]","(0.047, 0.0521]","(19.467, 20.556]","(0.641, 20.944]","(5.156, 6.294]","(6.925, 11.167]","(0.589, 0.878]","(0.0225, 0.028]","(0.0323, 0.0556]","(0.00193, 0.00578]","(0.0506, 0.0551]","(19.211, 20.189]","(40.889, 60.833]","(10.506, 11.978]","(10.389, 14.778]"
14:00 - 15:00,"(0.644, 0.817]","(0.0235, 0.0283]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.0688, 0.075]","(20.411, 21.433]","(40.0, 60.0]","(8.606, 9.678]","(5.911, 10.944]","(0.628, 0.733]","(0.0423, 0.0462]","(0.0507, 0.0597]","(0.000936, 0.00456]","(0.0726, 0.0796]","(20.133, 21.1]","(339.056, 359.0]","(7.022, 8.067]","(8.924, 13.222]","(0.422, 0.644]","(0.0217, 0.0266]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.0572, 0.0623]","(20.556, 21.644]","(340.056, 360.0]","(7.433, 8.572]","(6.925, 11.167]","(0.589, 0.878]","(0.017, 0.0225]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0597, 0.0642]","(20.189, 21.167]","(20.944, 40.889]","(10.506, 11.978]","(5.921, 10.389]"
15:00 - 16:00,"(0.817, 0.989]","(0.0332, 0.038]","(0.0404, 0.0567]","(0.000902, 0.00644]","(0.0688, 0.075]","(21.433, 22.456]","(280.0, 300.0]","(8.606, 9.678]","(5.911, 10.944]","(0.522, 0.628]","(0.0347, 0.0385]","(0.0418, 0.0507]","(0.000936, 0.00456]","(0.0796, 0.0867]","(21.1, 22.067]","(-0.359, 19.944]","(5.978, 7.022]","(8.924, 13.222]","(0.196, 0.422]","(0.0217, 0.0266]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.0572, 0.0623]","(21.644, 22.733]","(320.111, 340.056]","(6.294, 7.433]","(6.925, 11.167]","(0.589, 0.878]","(0.0115, 0.017]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0506, 0.0551]","(22.144, 23.122]","(300.167, 320.111]","(9.033, 10.506]","(5.921, 10.389]"
16:00 - 17:00,"(0.817, 0.989]","(0.0283, 0.0332]","(0.0404, 0.0567]","(0.000902, 0.00644]","(0.0565, 0.0627]","(22.456, 23.478]","(300.0, 320.0]","(9.678, 10.75]","(5.911, 10.944]","(0.417, 0.522]","(0.027, 0.0308]","(0.0239, 0.0328]","(0.000936, 0.00456]","(0.0796, 0.0867]","(21.1, 22.067]","(319.111, 339.056]","(7.022, 8.067]","(8.924, 13.222]","(0.196, 0.422]","(0.0168, 0.0217]","(0.0262, 0.0434]","(0.00744, 0.0139]","(0.0521, 0.0572]","(21.644, 22.733]","(320.111, 340.056]","(9.711, 10.85]","(6.925, 11.167]","(0.295, 0.589]","(0.0115, 0.017]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.046, 0.0506]","(22.144, 23.122]","(340.056, 360.0]","(22.283, 23.756]","(5.921, 10.389]"
17:00 - 18:00,"(0.472, 0.644]","(0.0235, 0.0283]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.038, 0.0442]","(21.433, 22.456]","(-0.36, 20.0]","(15.039, 16.111]","(5.911, 10.944]","(0.311, 0.417]","(0.0232, 0.027]","(0.0239, 0.0328]","(0.00456, 0.00811]","(0.0514, 0.0584]","(21.1, 22.067]","(319.111, 339.056]","(9.111, 10.156]","(8.924, 13.222]","(0.422, 0.644]","(0.0266, 0.0314]","(0.0262, 0.0434]","(0.00744, 0.0139]","(0.0368, 0.0419]","(20.556, 21.644]","(340.056, 360.0]","(16.544, 17.683]","(6.925, 11.167]","(0.589, 0.878]","(0.017, 0.0225]","(0.0323, 0.0556]","(0.00193, 0.00578]","(0.0323, 0.0369]","(21.167, 22.144]","(0.641, 20.944]","(25.228, 26.7]","(5.921, 10.389]"
18:00 - 19:00,"(0.644, 0.817]","(0.0283, 0.0332]","(0.0404, 0.0567]","(0.000902, 0.00644]","(0.0195, 0.0257]","(19.389, 20.411]","(-0.36, 20.0]","(15.039, 16.111]","(5.911, 10.944]","(0.417, 0.522]","(0.0385, 0.0423]","(0.0418, 0.0507]","(0.00456, 0.00811]","(0.0232, 0.0302]","(19.167, 20.133]","(339.056, 359.0]","(11.2, 12.244]","(8.924, 13.222]","(0.422, 0.644]","(0.0314, 0.0363]","(0.0434, 0.0607]","(0.000884, 0.00744]","(0.0163, 0.0214]","(18.378, 19.467]","(340.056, 360.0]","(14.267, 15.406]","(6.925, 11.167]","(0.589, 0.878]","(0.028, 0.0335]","(0.0556, 0.0788]","(0.00193, 0.00578]","(0.0187, 0.0232]","(18.233, 19.211]","(0.641, 20.944]","(23.756, 25.228]","(5.921, 10.389]"
19:00 - 20:00,"(0.989, 1.161]","(0.038, 0.0428]","(0.0567, 0.0729]","(0.000902, 0.00644]","(0.00717, 0.0133]","(17.344, 18.367]","(340.0, 360.0]","(10.75, 11.822]","(10.944, 15.889]","(0.522, 0.628]","(0.0385, 0.0423]","(0.0418, 0.0507]","(0.000936, 0.00456]","(0.00187, 0.00906]","(17.233, 18.2]","(319.111, 339.056]","(9.111, 10.156]","(8.924, 13.222]","(0.422, 0.644]","(0.0314, 0.0363]","(0.0434, 0.0607]","(0.000884, 0.00744]","(0.0112, 0.0163]","(16.2, 17.289]","(320.111, 340.056]","(14.267, 15.406]","(6.925, 11.167]","(0.589, 0.878]","(0.0225, 0.028]","(0.0323, 0.0556]","(0.00193, 0.00578]","(0.0232, 0.0278]","(16.278, 17.256]","(0.641, 20.944]","(19.339, 20.811]","(10.389, 14.778]"
22:00 - 23:00,"(0.644, 0.817]","(0.038, 0.0428]","(0.0567, 0.0729]","(0.000902, 0.00644]","(0.000889, 0.00717]","(13.256, 14.278]","(300.0, 320.0]","(8.606, 9.678]","(10.944, 15.889]","(0.417, 0.522]","(0.0347, 0.0385]","(0.0328, 0.0418]","(0.000936, 0.00456]","(0.00187, 0.00906]","(12.4, 13.367]","(219.389, 239.333]","(5.978, 7.022]","(17.444, 21.667]","(0.644, 0.867]","(0.0363, 0.0412]","(0.0434, 0.0607]","(0.0139, 0.0203]","(0.00611, 0.0112]","(11.844, 12.933]","(320.111, 340.056]","(9.711, 10.85]","(23.667, 27.833]","(1.744, 2.033]","(0.0445, 0.05]","(0.218, 0.242]","(0.00578, 0.00956]","(0.00492, 0.00956]","(13.344, 14.322]","(220.389, 240.333]","(6.089, 7.561]","(14.778, 19.167]"
23:00 - 0:00,"(0.817, 0.989]","(0.038, 0.0428]","(0.0567, 0.0729]","(0.0119, 0.0173]","(0.000889, 0.00717]","(12.233, 13.256]","(340.0, 360.0]","(4.317, 5.389]","(45.556, 50.5]","(0.311, 0.417]","(0.0232, 0.027]","(0.0239, 0.0328]","(0.000936, 0.00456]","(0.0161, 0.0232]","(11.433, 12.4]","(199.444, 219.389]","(7.022, 8.067]","(38.556, 42.778]","(0.422, 0.644]","(0.0314, 0.0363]","(0.0434, 0.0607]","(0.0461, 0.0526]","(0.000908, 0.00611]","(10.756, 11.844]","(240.333, 260.278]","(2.878, 4.017]","(44.5, 48.667]","(1.744, 2.033]","(0.039, 0.0445]","(0.125, 0.149]","(0.00193, 0.00578]","(0.00492, 0.00956]","(12.367, 13.344]","(0.641, 20.944]","(4.617, 6.089]","(36.722, 41.111]"
0:00 - 1:00,"(0.817, 0.989]","(0.038, 0.0428]","(0.0404, 0.0567]","(0.0554, 0.0609]","(0.000889, 0.00717]","(11.211, 12.233]","(300.0, 320.0]","(9.678, 10.75]","(30.722, 35.667]","(0.0981, 0.206]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0232, 0.0302]","(10.467, 11.433]","(199.444, 219.389]","(7.022, 8.067]","(25.889, 30.111]","(0.422, 0.644]","(0.0314, 0.0363]","(0.0262, 0.0434]","(0.0719, 0.0783]","(0.00611, 0.0112]","(9.667, 10.756]","(300.167, 320.111]","(10.85, 11.989]","(40.333, 44.5]","(1.167, 1.456]","(0.039, 0.0445]","(0.125, 0.149]","(0.00193, 0.00578]","(0.00492, 0.00956]","(11.389, 12.367]","(60.833, 80.778]","(4.617, 6.089]","(14.778, 19.167]"
1:00 - 2:00,"(0.644, 0.817]","(0.0332, 0.038]","(0.0404, 0.0567]","(0.05, 0.0554]","(0.000889, 0.00717]","(10.189, 11.211]","(300.0, 320.0]","(8.606, 9.678]","(40.611, 45.556]","(0.0981, 0.206]","(0.0117, 0.0155]","(0.00584, 0.0149]","(0.000936, 0.00456]","(0.0232, 0.0302]","(9.5, 10.467]","(219.389, 239.333]","(5.978, 7.022]","(25.889, 30.111]","(0.196, 0.422]","(0.0168, 0.0217]","(0.00869, 0.0262]","(0.0139, 0.0203]","(0.0163, 0.0214]","(8.578, 9.667]","(300.167, 320.111]","(10.85, 11.989]","(48.667, 52.833]","(1.167, 1.456]","(0.0335, 0.039]","(0.0788, 0.102]","(0.00578, 0.00956]","(0.00492, 0.00956]","(9.433, 10.411]","(200.444, 220.389]","(3.144, 4.617]","(23.556, 27.944]"
2:00 - 3:00,"(0.644, 0.817]","(0.038, 0.0428]","(0.0404, 0.0567]","(0.0228, 0.0282]","(0.000889, 0.00717]","(9.167, 10.189]","(320.0, 340.0]","(5.389, 6.461]","(50.5, 55.444]","(0.0981, 0.206]","(0.00783, 0.0117]","(0.00584, 0.0149]","(0.000936, 0.00456]","(0.0302, 0.0373]","(8.533, 9.5]","(219.389, 239.333]","(5.978, 7.022]","(30.111, 34.333]","(0.196, 0.422]","(0.0119, 0.0168]","(0.00869, 0.0262]","(0.00744, 0.0139]","(0.0163, 0.0214]","(8.578, 9.667]","(320.111, 340.056]","(8.572, 9.711]","(48.667, 52.833]","(0.878, 1.167]","(0.0335, 0.039]","(0.102, 0.125]","(0.00956, 0.0133]","(0.00492, 0.00956]","(9.433, 10.411]","(200.444, 220.389]","(3.144, 4.617]","(27.944, 32.333]"
5:00 - 6:00,"(0.989, 1.161]","(0.0332, 0.038]","(0.0567, 0.0729]","(0.0228, 0.0282]","(0.000889, 0.00717]","(7.122, 8.144]","(100.0, 120.0]","(3.244, 4.317]","(70.278, 75.222]","(0.206, 0.311]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0161, 0.0232]","(6.583, 7.567]","(139.611, 159.556]","(1.781, 2.844]","(42.778, 47.0]","(0.196, 0.422]","(0.0266, 0.0314]","(0.0434, 0.0607]","(0.000884, 0.00744]","(0.00611, 0.0112]","(6.38, 7.489]","(300.167, 320.111]","(7.433, 8.572]","(52.833, 57.0]","(1.167, 1.456]","(0.0335, 0.039]","(0.125, 0.149]","(0.0133, 0.0171]","(0.00492, 0.00956]","(6.482, 7.478]","(200.444, 220.389]","(1.672, 3.144]","(58.667, 63.056]"
14:00 - 15:00,"(0.817, 0.989]","(0.0283, 0.0332]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.0688, 0.075]","(17.344, 18.367]","(260.0, 280.0]","(6.461, 7.533]","(30.722, 35.667]","(0.417, 0.522]","(0.027, 0.0308]","(0.0328, 0.0418]","(0.00811, 0.0117]","(0.0655, 0.0726]","(16.267, 17.233]","(19.944, 39.889]","(5.978, 7.022]","(30.111, 34.333]","(0.422, 0.644]","(0.0266, 0.0314]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.0521, 0.0572]","(17.289, 18.378]","(340.056, 360.0]","(1.739, 2.878]","(32.0, 36.167]","(0.589, 0.878]","(0.017, 0.0225]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0506, 0.0551]","(17.256, 18.233]","(100.722, 120.667]","(4.617, 6.089]","(27.944, 32.333]"
15:00 - 16:00,"(0.644, 0.817]","(0.0187, 0.0235]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.075, 0.0812]","(18.367, 19.389]","(20.0, 40.0]","(5.389, 6.461]","(30.722, 35.667]","(0.522, 0.628]","(0.0347, 0.0385]","(0.0328, 0.0418]","(0.00811, 0.0117]","(0.0796, 0.0867]","(18.2, 19.167]","(59.833, 79.778]","(4.933, 5.978]","(30.111, 34.333]","(0.644, 0.867]","(0.0266, 0.0314]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.0572, 0.0623]","(18.378, 19.467]","(0.641, 20.944]","(2.878, 4.017]","(27.833, 32.0]","(0.589, 0.878]","(0.0115, 0.017]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0551, 0.0597]","(18.233, 19.211]","(100.722, 120.667]","(4.617, 6.089]","(27.944, 32.333]"
17:00 - 18:00,"(0.644, 0.817]","(0.0283, 0.0332]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.0627, 0.0688]","(19.389, 20.411]","(100.0, 120.0]","(3.244, 4.317]","(25.778, 30.722]","(0.522, 0.628]","(0.0308, 0.0347]","(0.0328, 0.0418]","(0.00456, 0.00811]","(0.0796, 0.0867]","(18.2, 19.167]","(79.778, 99.722]","(2.844, 3.889]","(25.889, 30.111]","(0.422, 0.644]","(0.0314, 0.0363]","(0.0434, 0.0607]","(0.000884, 0.00744]","(0.047, 0.0521]","(18.378, 19.467]","(340.056, 360.0]","(7.433, 8.572]","(27.833, 32.0]","(0.589, 0.878]","(0.0225, 0.028]","(0.0323, 0.0556]","(0.00193, 0.00578]","(0.046, 0.0506]","(18.233, 19.211]","(20.944, 40.889]","(9.033, 10.506]","(27.944, 32.333]"
21:00 - 22:00,"(0.644, 0.817]","(0.0187, 0.0235]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.0133, 0.0195]","(11.211, 12.233]","(280.0, 300.0]","(13.967, 15.039]","(65.333, 70.278]","(0.417, 0.522]","(0.027, 0.0308]","(0.0328, 0.0418]","(0.0188, 0.0223]","(0.00906, 0.0161]","(11.433, 12.4]","(319.111, 339.056]","(11.2, 12.244]","(63.889, 68.111]","(0.196, 0.422]","(0.0266, 0.0314]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.0112, 0.0163]","(9.667, 10.756]","(320.111, 340.056]","(16.544, 17.683]","(61.167, 65.333]","(0.295, 0.589]","(0.0115, 0.017]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0187, 0.0232]","(11.389, 12.367]","(320.111, 340.056]","(11.978, 13.45]","(54.278, 58.667]"
22:00 - 23:00,"(0.644, 0.817]","(0.0187, 0.0235]","(0.0242, 0.0404]","(0.000902, 0.00644]","(0.0133, 0.0195]","(10.189, 11.211]","(300.0, 320.0]","(12.894, 13.967]","(65.333, 70.278]","(0.206, 0.311]","(0.0193, 0.0232]","(0.0239, 0.0328]","(0.0117, 0.0152]","(0.0161, 0.0232]","(10.467, 11.433]","(299.167, 319.111]","(9.111, 10.156]","(68.111, 72.333]","(0.196, 0.422]","(0.0217, 0.0266]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.00611, 0.0112]","(9.667, 10.756]","(320.111, 340.056]","(11.989, 13.128]","(65.333, 69.5]","(0.295, 0.589]","(0.0115, 0.017]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0232, 0.0278]","(10.411, 11.389]","(340.056, 360.0]","(10.506, 11.978]","(58.667, 63.056]"
23:00 - 0:00,"(0.644, 0.817]","(0.0187, 0.0235]","(0.00771, 0.0242]","(0.000902, 0.00644]","(0.0133, 0.0195]","(11.211, 12.233]","(300.0, 320.0]","(9.678, 10.75]","(30.722, 35.667]","(0.311, 0.417]","(0.0193, 0.0232]","(0.0149, 0.0239]","(0.0117, 0.0152]","(0.00906, 0.0161]","(10.467, 11.433]","(199.444, 219.389]","(7.022, 8.067]","(25.889, 30.111]","(0.196, 0.422]","(0.0217, 0.0266]","(0.0262, 0.0434]","(0.000884, 0.00744]","(0.0112, 0.0163]","(9.667, 10.756]","(300.167, 320.111]","(10.85, 11.989]","(40.333, 44.5]","(0.589, 0.878]","(0.0115, 0.017]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0232, 0.0278]","(11.389, 12.367]","(60.833, 80.778]","(4.617, 6.089]","(14.778, 19.167]"
0:00 - 1:00,"(0.644, 0.817]","(0.0187, 0.0235]","(0.00771, 0.0242]","(0.000902, 0.00644]","(0.0133, 0.0195]","(9.167, 10.189]","(300.0, 320.0]","(9.678, 10.75]","(70.278, 75.222]","(0.206, 0.311]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.0152, 0.0188]","(0.0161, 0.0232]","(10.467, 11.433]","(339.056, 359.0]","(8.067, 9.111]","(72.333, 76.556]","(0.196, 0.422]","(0.0217, 0.0266]","(0.00869, 0.0262]","(0.000884, 0.00744]","(0.0112, 0.0163]","(8.578, 9.667]","(340.056, 360.0]","(8.572, 9.711]","(69.5, 73.667]","(0.295, 0.589]","(0.0059, 0.0115]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0232, 0.0278]","(9.433, 10.411]","(320.111, 340.056]","(7.561, 9.033]","(63.056, 67.444]"
1:00 - 2:00,"(0.472, 0.644]","(0.0138, 0.0187]","(0.00771, 0.0242]","(0.000902, 0.00644]","(0.0195, 0.0257]","(10.189, 11.211]","(320.0, 340.0]","(5.389, 6.461]","(70.278, 75.222]","(0.206, 0.311]","(0.0193, 0.0232]","(0.0149, 0.0239]","(0.0188, 0.0223]","(0.00906, 0.0161]","(10.467, 11.433]","(339.056, 359.0]","(8.067, 9.111]","(72.333, 76.556]","(0.196, 0.422]","(0.0168, 0.0217]","(0.00869, 0.0262]","(0.000884, 0.00744]","(0.0112, 0.0163]","(14.022, 15.111]","(340.056, 360.0]","(9.711, 10.85]","(65.333, 69.5]","(0.295, 0.589]","(0.0059, 0.0115]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0232, 0.0278]","(9.433, 10.411]","(340.056, 360.0]","(9.033, 10.506]","(63.056, 67.444]"
2:00 - 3:00,"(0.472, 0.644]","(0.0187, 0.0235]","(0.00771, 0.0242]","(0.000902, 0.00644]","(0.0133, 0.0195]","(10.189, 11.211]","(-0.36, 20.0]","(3.244, 4.317]","(70.278, 75.222]","(0.0981, 0.206]","(0.0117, 0.0155]","(0.00584, 0.0149]","(0.00456, 0.00811]","(0.0232, 0.0302]","(9.5, 10.467]","(319.111, 339.056]","(9.111, 10.156]","(72.333, 76.556]","(0.196, 0.422]","(0.0119, 0.0168]","(0.00869, 0.0262]","(0.000884, 0.00744]","(0.0163, 0.0214]","(8.578, 9.667]","(340.056, 360.0]","(8.572, 9.711]","(65.333, 69.5]","(0.295, 0.589]","(0.0059, 0.0115]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0232, 0.0278]","(9.433, 10.411]","(340.056, 360.0]","(10.506, 11.978]","(63.056, 67.444]"
3:00 - 4:00,"(0.472, 0.644]","(0.0187, 0.0235]","(0.00771, 0.0242]","(0.000902, 0.00644]","(0.0133, 0.0195]","(10.189, 11.211]","(340.0, 360.0]","(3.244, 4.317]","(70.278, 75.222]","(0.0981, 0.206]","(0.0155, 0.0193]","(0.0149, 0.0239]","(0.000936, 0.00456]","(0.0161, 0.0232]","(9.5, 10.467]","(339.056, 359.0]","(7.022, 8.067]","(72.333, 76.556]","(0.196, 0.422]","(0.0168, 0.0217]","(0.00869, 0.0262]","(0.00744, 0.0139]","(0.0112, 0.0163]","(8.578, 9.667]","(320.111, 340.056]","(6.294, 7.433]","(65.333, 69.5]","(0.295, 0.589]","(0.0059, 0.0115]","(0.00858, 0.0323]","(0.00193, 0.00578]","(0.0232, 0.0278]","(9.433, 10.411]","(0.641, 20.944]","(11.978, 13.45]","(63.056, 67.444]"
