date,pm25,pm10,o3,no2,so2,co
2019/1/24,62,37,39,32,4,11
2019/1/25,54,39,36,32,4,12
2019/1/26,55,22,45,20,5,5
2019/1/27,45,43,51,34,5,10
2019/1/28,58,41,66,34,5,10
2019/1/29,71,37,42,25,2,7
2019/1/30,49,40,30,39,3,12
2019/1/31,61,42,47,40,3,12
2019/2/1,56,56,82,40,6,12
2019/2/2,84,55,80,41,6,13
2019/2/3,83,53,70,41,6,11
2019/2/4,86,56,72,52,7,13
2019/2/5,81,61,79,,7,17
2019/2/6,90,61,58,,7,12
2019/2/7,80,47,27,,4,8
2019/2/8,66,43,45,,12,8
2019/2/9,81,42,59,,19,8
2019/2/10,68,49,66,,5,11
2019/2/11,76,57,30,,6,9
2019/2/12,78,43,41,,19,9
2019/2/13,79,47,56,33,4,12
2019/2/14,91,45,68,35,4,11
2019/2/15,76,47,72,29,4,10
2019/2/16,68,36,51,25,3,8
2019/2/17,57,41,36,28,4,9
2019/2/18,64,35,31,22,3,9
2019/2/19,49,31,24,19,3,9
2019/2/20,48,25,22,16,3,7
2019/2/21,35,,,,,
2019/2/24,62,36,38,27,4,8
2019/2/25,67,36,37,30,4,10
2019/2/26,64,36,39,31,4,9
2019/2/27,51,45,56,36,5,
2019/2/28,71,59,4,54,6,
2019/3/1,84,,,,,
2019/3/3,75,44,44,32,7,
2019/3/4,68,42,27,31,6,
2019/3/5,66,42,52,29,13,7
2019/3/6,72,49,67,40,6,9
2019/3/7,83,48,58,35,4,9
2019/3/8,79,47,88,30,4,6
2019/3/9,85,53,82,27,7,6
2019/3/10,92,56,76,35,10,8
2019/3/11,91,51,46,30,10,6
2019/3/12,84,50,73,32,5,8
2019/3/13,76,54,74,31,5,8
2019/3/14,87,57,62,26,14,6
2019/3/15,92,46,44,27,12,6
2019/3/16,70,49,73,29,21,6
2019/3/17,92,38,41,21,18,4
2019/3/18,68,42,43,27,15,7
2019/3/19,72,45,59,25,24,6
2019/3/20,72,46,53,28,20,6
2019/3/21,84,39,44,28,8,6
2019/3/22,61,38,58,24,3,6
2019/3/23,65,40,82,24,5,5
2019/3/24,65,40,45,27,4,6
2019/3/25,57,38,44,26,4,7
2019/3/26,46,40,42,24,9,5
2019/3/27,61,41,51,28,22,6
2019/3/28,65,54,65,41,4,10
2019/3/29,85,59,96,37,4,9
2019/3/30,97,55,82,25,23,6
2019/3/31,102,50,61,22,3,6
2018/10/1,41,23,28,18,2,5
2018/10/2,37,21,26,19,1,5
2018/10/3,33,21,32,21,2,6
2018/10/4,37,31,55,25,2,7
2018/10/5,57,41,56,28,3,8
2018/10/6,84,38,54,30,2,8
2018/10/7,86,43,51,39,5,10
2018/10/8,92,38,46,27,3,10
2018/10/9,67,40,45,37,3,11
2018/10/10,85,44,51,34,5,10
2018/10/11,99,36,39,30,2,8
2018/10/12,70,36,33,25,3,8
2018/10/13,68,18,27,17,5,7
2018/10/14,33,29,14,29,4,10
2018/10/15,50,37,39,30,3,10
2018/10/16,67,24,14,20,8,7
2018/10/17,38,19,13,19,1,7
2018/10/18,28,25,10,22,3,8
2018/10/19,43,,,,,
2018/11/9,68,39,49,26,5,8
2018/11/10,70,46,69,29,21,10
2018/11/11,91,39,37,32,5,11
2018/11/12,70,46,22,31,9,11
2018/11/13,87,37,3,28,17,16
2018/11/14,90,40,32,35,3,13
2018/11/15,78,57,40,38,6,17
2018/11/16,95,55,63,38,6,15
2018/11/17,93,50,61,38,4,14
2018/11/18,88,50,58,39,4,16
2018/11/19,84,56,53,44,5,16
2018/11/20,90,61,49,39,10,13
2018/11/21,104,60,60,48,6,15
2018/11/22,101,66,92,51,7,17
2018/11/23,115,66,78,47,5,16
2018/11/24,121,40,39,29,3,12
2018/11/25,75,58,34,40,18,13
2018/11/26,105,55,34,35,14,12
2018/11/27,93,34,22,20,5,8
2018/11/28,53,17,22,15,2,9
2018/11/29,30,20,15,16,3,9
2018/11/30,31,27,33,21,4,12
2018/12/1,45,27,46,27,3,11
2018/12/2,47,48,58,41,6,14
2018/12/3,80,60,58,41,20,13
2018/12/4,110,49,19,29,15,13
2018/12/5,91,43,49,32,7,12
2018/12/6,79,38,29,27,5,12
2018/12/7,61,46,36,31,5,15
2018/12/8,70,42,38,29,4,14
2018/12/9,72,57,22,35,45,12
2018/12/10,107,75,36,38,31,11
2018/12/11,136,68,57,42,12,14
2018/12/12,134,37,26,31,4,12
2018/12/13,64,49,40,36,8,12
2018/12/14,74,71,45,44,37,10
2018/12/15,128,63,65,45,34,12
2018/12/16,115,62,61,55,35,13
2018/12/17,114,73,73,52,9,16
2018/12/18,131,34,29,29,4,9
2018/12/19,54,41,34,36,24,13
2018/12/20,60,65,46,55,22,16
2018/12/21,103,76,65,67,16,19
2018/12/22,140,76,83,57,13,16
2018/12/23,135,58,57,51,36,13
2018/12/24,109,95,91,49,23,17
2018/12/25,165,56,38,40,8,13
2018/12/26,101,40,36,30,5,12
2018/12/27,63,43,28,42,10,16
2018/12/28,69,55,41,47,11,17
2018/12/29,95,58,31,29,9,13
2018/12/30,94,,,,,
2018/7/2,99,46,39,24,20,8
2018/7/3,75,51,58,31,19,9
2018/7/4,99,40,30,19,3,8
2018/7/5,59,32,20,20,11,6
2018/7/6,51,22,40,21,3,5
2018/7/7,37,28,37,21,9,6
2018/7/8,62,45,47,27,4,9
2018/7/9,77,31,37,26,4,8
2018/7/10,59,42,50,33,5,9
2018/7/11,81,30,37,28,3,8
2018/7/12,65,3,48,28,16,8
